MEDIA_ID,MEDIA_NAME,CNT,TIME(2019/12/09 15:54:02.611),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,
1,NewMedia1,13,0.21667,2517789538899,0.54070,0.37164,0.01645,0.20022,2,1,0.82853,0.38171,1,0.36875,0.10833,0,,1.04223,0.34192,1,0.61483,0.42149,1,0.51971,0.43073,25.40336,1.15971,1,0.85490,0.43750,23.44760,1.15971,1,0,0.00000,1,7.23665,1,7.29504,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,22,0.36299,2517791002076,0.46553,0.37216,0.27934,0.08364,3,1,0.82388,0.38745,1,0.37396,0.13056,0,,0.98880,0.35372,1,0.65895,0.42117,1,0.51752,0.43248,20.36092,1.13043,1,0.85261,0.44013,20.93608,1.13043,1,0,0.00000,1,6.44299,1,6.39717,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,144.32751,180.22295,
1,NewMedia1,59,0.96975,2517797069684,0.61105,0.38901,0.37970,0.59005,4,1,0.47358,0.40572,1,0.45052,0.43611,0,,0.43199,0.37488,1,0.51516,0.43656,1,0.51408,0.43720,19.66432,1.10754,1,0.84625,0.44452,21.42644,1.10754,1,0,0.00000,1,5.61995,1,5.86646,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,279.99045,356.27344,
1,NewMedia1,86,1.41372,2517801509397,0.45021,0.45821,1.03485,0.37887,5,1,0.44974,0.64206,0,0.45052,0.43796,0,,0.44974,0.64206,0,0.44689,0.55360,0,0.50078,0.44414,14.17323,1.08767,0,0.83278,0.44056,23.53408,1.08767,0,2,0.00000,1,5.70890,0,6.50183,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,317.72763,193.60461,
1,NewMedia1,133,2.18850,2517809257180,0.47762,0.48653,1.62738,0.56112,6,1,0.49459,0.47737,1,0.45052,0.43796,0,,0.49970,0.43007,1,0.48948,0.52468,1,0.50509,0.44069,25.60424,1.09394,1,0.83285,0.44447,25.67257,1.08732,1,0,0.00000,2,6.59525,1,6.96874,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,60.86954,329.83594,
1,NewMedia1,164,2.69460,2517814318243,0.49871,0.43857,2.20880,0.48581,7,1,0.51675,0.40676,1,0.45052,0.43796,0,,0.51755,0.40906,1,0.51595,0.40446,1,0.50524,0.44014,26.14596,1.09430,1,0.83594,0.44368,24.96690,1.08767,1,0,0.00000,2,6.83166,1,7.03938,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,65.74631,51.98304,
1,NewMedia1,212,3.48275,2517822199725,0.52580,0.40762,2.71068,0.77207,8,1,0.55183,0.65758,0,0.44948,0.43889,0,,0.55183,0.65758,0,0.52907,0.47644,0,0.50411,0.44655,13.83715,1.05978,0,0.83685,0.44400,26.42188,1.05978,0,3,0.00000,2,5.55808,0,6.92188,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,61.82741,32.72677,
1,NewMedia1,240,3.95180,2517826890245,0.49606,0.16090,3.65326,0.29855,9,1,0.48357,0.16231,1,0.44948,0.43889,0,,0.48414,0.15269,1,0.48299,0.17192,1,0.50095,0.43533,25.26131,1.06771,1,0.83309,0.44136,27.37740,1.06169,1,0,0.00000,3,7.00854,1,7.09650,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,272.50717,102.09531,
1,NewMedia1,266,4.41937,2517831565926,0.49420,0.15543,3.98179,0.43758,10,1,0.50823,0.17681,1,0.44948,0.43889,0,,0.50137,0.16908,1,0.51510,0.18454,1,0.49475,0.43549,25.31572,1.05978,1,0.82594,0.44038,27.65301,1.05978,1,0,0.00000,3,7.07169,1,7.15916,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,6.90314,121.15359,
1,NewMedia1,285,4.69876,2517834359801,0.89661,0.20961,4.45239,0.24637,11,1,0.93657,0.24772,1,0.44948,0.43889,0,,0.94143,0.22240,1,0.93171,0.27304,1,0.51770,0.43780,26.97280,1.01047,1,0.84985,0.44013,26.21956,1.01047,1,0,0.00000,3,7.03282,1,6.95960,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,774.83984,355.66901,
1,NewMedia1,329,5.43077,2517841679948,0.94988,0.20162,4.72357,0.70721,12,1,0.92710,0.41526,1,0.44948,0.43889,0,,0.90913,0.39762,1,0.94506,0.43290,1,0.50067,0.44253,25.60061,1.06703,1,0.83029,0.44407,24.82185,1.06041,1,0,0.00000,3,7.05223,1,7.07865,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,102.64182,4.82260,
1,NewMedia1,395,6.52719,2517852644055,0.94405,0.56095,5.76400,0.76318,13,1,0.95840,0.76555,1,0.44948,0.43889,0,,0.97961,0.73607,1,0.93719,0.79502,1,0.48958,0.45766,26.58131,1.11417,1,0.81470,0.45548,26.52275,1.11417,1,0,0.00000,4,7.17655,1,7.00966,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,388.23779,268.34784,
1,NewMedia1,441,7.31380,2517860510217,0.96047,0.79388,6.58822,0.72558,14,1,0.87302,0.78964,1,0.44948,0.43889,0,,0.88838,0.78067,1,0.85766,0.79861,1,0.49042,0.45655,27.20728,1.08627,1,0.81880,0.45574,27.24315,1.09359,1,0,0.00000,4,7.31517,1,7.47639,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,253.53215,277.14313,
1,NewMedia1,458,7.56772,2517863049383,0.60850,0.82500,7.34785,0.21987,15,1,0.48866,0.86998,1,0.44948,0.43889,0,,0.48671,0.84055,1,0.49062,0.89942,1,0.47370,0.45778,28.56410,1.08000,1,0.80291,0.45884,27.03628,1.07338,1,0,0.00000,4,7.27715,1,7.59951,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,676.61761,182.84721,
1,NewMedia1,498,8.21449,2517869517117,0.49807,0.84102,7.59769,0.61680,16,1,0.52051,1.00666,0,0.44948,0.43889,0,,0.51309,0.99905,0,0.52794,1.01427,0,0.50567,0.45638,23.58094,1.10755,0,0.83783,0.46840,22.35794,1.11417,0,5,0.00000,4,7.53647,0,7.07873,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,212.73038,184.66508,
1,NewMedia1,529,8.73271,2517874699341,0.51885,1.05174,8.43621,0.29650,17,1,0.55424,1.05552,1,0.44948,0.43889,0,,0.55932,1.07066,1,0.54916,1.04037,1,0.50130,0.45779,27.36275,1.10022,1,0.83115,0.46462,27.07432,1.10022,1,0,0.00000,5,7.55018,1,7.36504,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,231.04854,279.94373,
1,NewMedia1,553,9.14174,2517878789646,0.55749,0.98811,8.75855,0.38320,18,1,0.53738,0.96633,1,0.44948,0.43889,0,,0.54394,0.93108,1,0.53083,1.00157,1,0.50481,0.45049,27.48402,1.14345,1,0.83432,0.45618,26.31863,1.14345,1,0,0.00000,5,7.32655,1,7.21249,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,101.12595,42.80873,
1,NewMedia1,572,9.44417,2517881813861,0.54912,0.93497,9.14557,0.29860,19,1,0.51261,0.67506,1,0.44948,0.43889,0,,0.50920,0.60193,1,0.51601,0.74819,1,0.50435,0.44035,26.13549,1.13656,1,0.83140,0.44525,25.03779,1.12924,1,0,0.00000,5,6.92100,1,6.92512,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,59.59867,105.64297,
1,NewMedia1,595,9.82459,2517885618078,0.50397,0.55352,9.51858,0.30600,20,1,0.52489,0.60480,1,0.44896,0.43981,0,,0.52881,0.57954,1,0.52097,0.63007,1,0.49896,0.44400,26.18094,1.15206,1,0.82645,0.44763,24.87408,1.15937,1,0,0.00000,5,6.85951,1,6.90376,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,420.98788,101.88311,
1,NewMedia1,641,10.59436,2517893315842,0.52896,0.59292,9.84503,0.74933,21,1,0.50131,0.53897,1,0.44896,0.43981,0,,0.49942,0.46994,1,0.50320,0.60800,1,0.48506,0.44364,27.95513,1.11452,1,0.81249,0.44153,26.39037,1.10058,1,0,0.00000,5,7.22397,1,7.34637,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,64.13124,318.43161,
1,NewMedia1,657,10.87179,2517896090098,0.49892,0.51663,10.59848,0.27331,22,1,0.48485,0.50810,1,0.44896,0.43981,0,,0.49151,0.48055,1,0.47820,0.53565,1,0.48751,0.44385,28.44599,1.10868,1,0.81544,0.44255,26.72561,1.10206,1,0,0.00000,5,7.30911,1,7.42179,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,100.57458,124.99274,
2,NewMedia2,19,0.32769,2517899422332,0.48342,0.50675,0.00000,0.32769,1,1,0.45441,0.51177,1,0.44896,0.43981,0,,0.46427,0.45431,1,0.44454,0.56923,1,0.48691,0.44247,28.09514,1.05979,1,0.81480,0.44167,26.47863,1.05979,1,0,0.00000,5,7.24949,1,7.45333,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,31.61506,160.27473,
2,NewMedia2,38,0.64079,2517902553263,0.46080,0.51554,0.34415,0.29664,2,1,0.44702,0.39823,1,0.44896,0.43981,0,,0.46281,0.34522,1,0.43123,0.45124,1,0.49056,0.43969,21.25409,1.14578,1,0.81834,0.44170,22.54536,1.14578,1,0,0.00000,5,6.16083,1,6.29396,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,44.45591,192.33003,
2,NewMedia2,91,1.51000,2517911245386,0.44457,0.45425,0.65699,0.85300,3,1,0.47795,0.50401,1,0.44896,0.43981,0,,0.47553,0.47276,1,0.48036,0.53526,1,0.49944,0.44215,18.15353,1.11418,1,0.82714,0.44629,19.19674,1.11418,1,0,0.00000,5,4.76225,1,5.75606,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,73.16135,115.20950,
2,NewMedia2,143,2.37035,2517919848883,0.45882,0.47594,1.52636,0.84399,4,1,0.48650,0.48223,1,0.44896,0.43981,0,,0.51111,0.42784,1,0.46189,0.53662,1,0.50236,0.44388,22.97218,1.10058,1,0.83022,0.44708,23.65265,1.10720,1,0,0.00000,5,6.28992,1,6.61822,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,36.01817,319.43036,
2,NewMedia2,150,2.49214,2517921066770,0.48687,0.48265,2.38072,0.11142,5,1,0.51746,0.39995,0,0.44896,0.43981,0,,0.47877,0.72330,0,0.55616,0.07660,0,0.50320,0.44350,19.87807,1.08769,0,0.83833,0.44177,22.81629,1.08769,0,6,0.00000,5,5.74422,0,10.76725,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,54.34140,352.33636,
2,NewMedia2,258,4.28633,2517939008744,0.48497,0.50015,2.74260,1.54374,6,1,0.45912,0.51713,1,0.44896,0.43981,0,,0.47628,0.50380,1,0.44195,0.53045,1,0.49989,0.44357,25.33110,1.08769,1,0.82743,0.44723,25.31363,1.09432,1,0,0.00000,6,6.75824,1,6.89343,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,19.24887,259.07535,
2,NewMedia2,295,4.91006,2517945245986,0.47631,0.48572,4.30259,0.60747,7,1,0.50426,0.45608,1,0.44896,0.43981,0,,0.51161,0.42095,1,0.49692,0.49120,1,0.50779,0.44518,25.64299,1.13614,1,0.83534,0.44907,25.21820,1.12882,1,0,0.00000,6,6.80424,1,6.85089,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,22.78893,136.85408,
2,NewMedia2,335,5.55196,2517951664996,0.98085,0.59293,5.03384,0.51812,8,1,0.97889,0.53545,1,0.44896,0.43981,0,,0.98765,0.51355,1,0.97014,0.55735,1,0.52881,0.44746,24.55037,1.11556,1,0.85784,0.44880,24.22959,1.11556,1,0,0.00000,6,6.55421,1,6.49905,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,975.61188,353.18399,
2,NewMedia2,348,5.78878,2517954033195,0.74264,0.48221,5.58301,0.20577,9,1,0.50511,0.45742,1,0.44896,0.43981,0,,0.51234,0.40515,1,0.49789,0.50969,1,0.50651,0.44133,23.06185,1.07340,1,0.83323,0.44492,23.28131,1.07340,1,0,0.00000,6,6.20955,1,6.51916,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,472.73645,165.34798,
2,NewMedia2,382,6.32755,2517959420920,0.46433,0.40094,5.83301,0.49454,10,1,0.45907,0.47722,1,0.44896,0.43981,0,,0.47905,0.43643,1,0.43908,0.51800,1,0.50827,0.44026,23.45620,1.07119,1,0.83648,0.44130,22.24031,1.07721,1,0,0.00000,6,6.57147,1,6.21824,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,541.51587,170.67206,
2,NewMedia2,396,6.55764,2517961721761,0.47222,0.60678,6.37829,0.17935,11,1,0.49232,0.79852,1,0.44896,0.43981,0,,0.49232,0.79852,1,0.41258,0.70240,0,0.51178,0.44447,18.79527,1.09326,1,0.83907,0.44537,16.02042,1.09326,0,0,0.00000,6,6.18714,1,6.25592,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,222.82275,273.89832,
