MEDIA_ID,MEDIA_NAME,CNT,TIME(2019/07/11 14:33:13.728),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,
1,NewMedia1,0,0.00000,177406894652,0.46713,0.38012,0.00000,0.00000,1,1,0.52483,0.42045,1,0.36198,0.09352,0,,0.37186,0.28521,20.32036,0.96255,1,0.69922,0.29004,18.08026,0.97162,1,0,0.00000,23,5.32713,1,5.20824,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,1,0.01563,177407056447,0.47357,0.38214,0.00000,0.01563,1,1,0.55732,0.40839,1,0.36198,0.09352,0,,0.37241,0.28586,20.03799,0.99126,1,0.69911,0.29048,18.03979,1.00033,1,0,0.00000,23,5.27117,1,5.06703,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,2,0.03320,177407225357,0.47948,0.38057,0.00000,0.03321,1,1,0.56219,0.35865,1,0.36198,0.09444,0,,0.37241,0.28603,19.86268,1.01997,1,0.69911,0.29048,18.03979,1.02904,1,0,0.00000,23,5.30020,1,5.06701,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,3,0.05078,177407400877,0.50108,0.40126,0.00000,0.03321,1,0,0.56385,0.33334,1,0.36198,0.09444,0,,0.37241,0.28604,19.85205,1.04868,1,0.69930,0.29017,17.52923,1.06832,1,0,0.00000,22,5.29784,1,5.08564,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,4,0.06543,177407549337,0.52672,0.37046,0.00000,0.03321,1,0,0.55236,0.33965,1,0.36198,0.09444,0,,0.37242,0.28635,20.17109,1.06832,1,0.69929,0.29046,17.78763,1.07890,1,0,0.00000,22,5.25400,1,5.02067,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,5,0.08203,177407714517,0.53985,0.35616,0.00000,0.03321,1,0,0.56612,0.32756,1,0.36198,0.09444,0,,0.37247,0.28631,20.17768,1.07890,1,0.69958,0.29092,17.70594,1.08948,1,0,0.00000,22,5.23221,1,5.13056,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,6,0.09766,177407878048,0.54652,0.34708,0.05078,0.04688,2,1,0.56653,0.31986,1,0.36198,0.09537,0,,0.37254,0.28649,19.87258,1.08948,1,0.69946,0.29095,17.90290,1.10005,1,0,0.00000,22,5.23155,1,5.09250,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,7,0.11621,177408063972,0.55159,0.34688,0.05078,0.06543,2,1,0.57188,0.34609,1,0.36198,0.09537,0,,0.37255,0.28661,19.71694,1.10005,1,0.69954,0.29087,17.77522,1.10005,1,0,0.00000,22,5.21003,1,5.12028,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,8,0.13086,177408207135,0.55576,0.35048,0.05078,0.08008,2,1,0.57661,0.36847,1,0.36198,0.09537,0,,0.37267,0.28676,19.63453,1.10005,1,0.69962,0.29092,17.85040,1.10005,1,0,0.00000,22,5.20974,1,5.11393,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
1,NewMedia1,9,0.14746,177408371377,0.55867,0.35408,0.05078,0.09668,2,1,0.57612,0.37565,1,0.36198,0.09537,0,,0.37277,0.28680,19.76572,1.08948,1,0.69979,0.29088,17.52828,1.08948,1,0,0.00000,22,5.20602,1,5.08601,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
